region,Country Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
IDA only,IDX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11910166,11349714,10278805,9988243,9714257,8600494,7370586,6493038,6193092,6219269,7270498,7151304,5945014,5447761,5734972,5387885,5283185,5938486,5589682,5914940,6229227,6403661,7301887,9232932,11396730,13110725,14353405,17132740,17494947,17465956,17509359,18201624
Isle of Man,IMN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,IND,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,13,197,406,1021,1491,3266,5011,7546,8918,9663,9846,11397,11560,14349,13703,13335,16275,17797,20455,19551,19496,17766,16226,14245,11032,10431,9882,7288,7926,9586,11787,12398,14230
Not classified,INX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ireland,IRL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,5,5,5,6,5,23,5,9,7,7,7,7,7,7,7,5,,,,,,5
"Iran, Islamic Rep.",IRN,,,,,,,,,,,,,,,,,,,,,48,803,2480,5577,5244,88245,87921,10992,58259,52798,75889,130366,128781,115516,121288,112360,104122,93986,89967,86845,88266,92490,138362,122530,115171,99430,102479,68398,69051,72771,68785,72366,75932,75061,82202,84950,94102,118639,129941,128998,135018,142989
Iraq,IRQ,,,,,,,,,2700,2700,,,,,,,,,560,31000,31098,66589,103766,103721,101724,401503,400745,410818,508468,507986,1133805,1321853,1343824,771074,749833,718717,714727,707342,675030,642875,526165,530508,422504,368577,311889,262302,1450908,2309246,1903516,1785215,1683576,1428306,746204,401461,369960,264086,316056,362536,372332,336274,333200,343897
Iceland,ISL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,5,5,5,,13,11,8,10,32,10,10,5,5,,,,,,,5,5,5,5,5
Israel,ISR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,14,28,37,114,888,937,1121,988,832,473,414,361,561,626,669,624,876,1539,1486,1298,1290,1323,1326,1026,967,787,487,469,492,452,373,453
Italy,ITA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,145,120,109,112,76,49,46,36,223,208,192,219,106,84,57,42,45,57,65,64,63,69,49,52,69,76,62,61
Jamaica,JAM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,10,11,18,21,26,33,37,37,147,260,350,489,661,766,825,908,1055,1248,1404,1501,1682,1857,1998,2224,2448,2529,2526,2419
Jordan,JOR,,,,,,,,,,,,,,,,,,,,,,,,,5,105,5,5,7,14,56,114,183,239,440,511,707,720,897,970,915,773,1280,1149,1158,1778,1592,1777,1882,2109,2248,2242,2363,1622,1711,1836,1919,2119,2430,2308,2486,2981
Japan,JPN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,5,,,,,5,5,14,17,19,10,166,519,183,148,149,176,173,154,257,140,53,44,42,39,40,39
Kazakhstan,KAZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,137,40163,40772,20458,9059,2537,2803,6317,6563,6124,4321,7374,5232,4825,3741,3631,3497,3567,2114,2219,2263,2366,2406,2520,2757,2741,3198
Kenya,KEN,,,,,,,,,,,,,,,,90,,1200,80,80,,,,,,,,,,,7,31,61,83,8772,9320,9390,9563,6037,6131,2367,2551,3089,3159,3842,4638,5356,7544,9682,9609,8585,8731,8946,8580,8546,7902,7526,7567,7480,7705,7422,7529
Kyrgyz Republic,KGZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,20,17118,16321,7450,4003,747,687,2952,3142,3286,3127,2493,2257,2526,2611,2748,3163,3490,2299,2449,2498,2571,2771,2934,2963,2883,3035
Cambodia,KHM,,,,,,,,,,,,57000,55000,35000,,18830,17200,76710,165120,51100,192843,135077,123398,91115,72468,67518,54848,48589,97758,75725,54364,43166,28849,9751,8536,61224,62240,103239,76575,38318,36851,34756,33451,31404,18109,17804,17963,17700,17250,17022,16308,15201,14016,13738,13066,12802,12428,12238,12139,11986,11862,12072
Kiribati,KIR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,31,31,39,36,36,31,31,31,34,21,5,,,,,,,
St. Kitts and Nevis,KNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,,,,,10,7,10,12,20,25,49,51,58,57,54,47
"Korea, Rep.",KOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,5,17,29,40,50,63,72,69,83,244,236,269,266,1333,1183,1099,567,578,508,555,495,478,346,243,239,274,180,146,117
Kuwait,KWT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46,49,77,91,758,764,854,824,827,988,688,696,705,615,391,374,610,741,847,936,986,1112,1189,971,974,1076,1013,1097,1251,1300,1422,1702
Latin America & Caribbean (excluding high income),LAC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,154727,159359,157182,140286,151401,140501,135777,129943,118212,109363,81889,83720,92633,88771,93325,113834,158668,618226,439462,454612,462136,474383,480919,486541,453127,439080,411652,306150,268319,344659,365219,327684
Lao PDR,LAO,,,,,,,,,,,,,,,,55510,62720,78970,119180,128770,105256,89990,80588,85043,86673,99303,91214,78894,135866,133496,135634,122328,96158,74500,54895,58197,46908,37369,29018,21393,16090,12625,11233,10360,16114,24441,26445,10012,8596,8397,8412,8086,7981,7736,7476,7359,7229,7056,6943,6757,6665,6778
Lebanon,LBN,,,,,,,,,,,,,,,,,,,,,,,12590,27270,30060,33140,630,,439,2197,6993,8501,10257,10629,15649,13513,10888,10228,9782,7677,10208,8754,26313,24929,19854,18325,12249,13089,12966,16250,15864,15004,15100,3809,4262,4353,4719,5301,5620,5647,5495,6061
Liberia,LBR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,50,735687,673433,520914,704048,797834,744627,783992,493324,365390,294685,266926,244603,275414,353340,335466,231136,160543,91542,75221,71601,70133,66779,23428,17548,13561,9972,6558,6039,5508,5365,5195,5384
Libya,LBY,,,,,,,,,,,,,,,,,,,,,205,226,259,275,291,327,304,250,659,653,579,841,687,595,669,622,271,266,432,563,603,877,1443,1553,1696,1556,1557,1939,2068,2189,2297,4372,5233,3298,4187,6077,8831,11205,13868,16033,17523,19090
St. Lucia,LCA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,10,12,9,12,16,32,96,163,227,288,312,334,432,567,711,921,1011,993,995,1025,843,726,457
Latin America & Caribbean,LCN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,170746,174606,172312,156527,168124,155698,149513,140554,125968,111589,83363,85126,95013,91058,95934,117605,163726,624864,446848,462724,470611,483996,491192,496493,462707,448051,420669,317028,291071,439724,538350,529528
Least developed countries: UN classification,LDC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12258453,11676788,10465754,10198527,9888321,8741162,7447530,6620964,6403899,6643817,7738359,7612688,6279215,5640401,5841632,5490504,5434782,6076711,5703966,5993465,6276899,6329250,6458029,6659557,7414985,8143116,8759185,10753183,10766888,10765042,10714645,11241422
Low income,LIC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11534224,10975628,9572602,9277280,9063734,7934935,6655192,5821160,5646227,5778494,6832910,6717375,5471120,4979816,5276116,4911688,4803085,5488013,5131796,5252402,5547534,5614738,6578415,8472916,10654580,12401078,13640641,15752152,16125886,16153790,16172994,16757428
Liechtenstein,LIE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5
Sri Lanka,LKA,,,,,,,,,,,,,,,,,,,,,,,,,,160,315,219,3388,7692,208271,209349,128115,91837,114454,107587,109576,122277,114971,116698,124156,122414,133240,122005,114050,108132,116948,134945,137742,145711,141064,136602,132720,123074,121991,121427,117472,115632,113955,110341,142664,151107
Lower middle income,LMC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1618263,1708109,1926902,1900030,1915127,1826626,1933509,1879556,1772630,1868471,1856035,2070118,2317580,2034724,1899386,1900632,1872130,1726578,1727863,1687747,1693340,1787654,1621641,1582354,2158861,2257203,2063816,2704324,2742730,2679097,2788800,3005218
Low & middle income,LMY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14501674,14311770,14269535,13627759,13554884,12198895,11369637,10348295,9844307,9874094,10462215,10514671,9778201,8795127,8770077,8180115,9368610,10915238,10023014,9953517,10140964,10018386,10121449,11362971,14057230,15762445,16819122,19505733,19895441,19899548,20082260,20804137
Lesotho,LSO,,,,,,,,,,,,60,,,110,310,,90,160,160,70,80,,,,,,,,5,5,5,,55,,,,,,,,,5,5,5,,5,5,5,5,5,5,5,10,16,16,5,6,6,6,6,6
Late-demographic dividend,LTE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,927021,987561,1596693,1637938,1679696,1540448,1638050,1621499,1582587,1421955,1153035,1144963,1483550,1427522,1349097,1305779,1284149,1544447,1426418,1490071,1478790,1452623,1444896,1225141,1196553,1165910,1138668,1021363,975188,1008730,1081691,979983
Lithuania,LTU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,10,15,63,107,659,650,276,251,155,210,1365,1535,1470,1440,936,461,486,496,508,523,487,217,182,143,74,73,66,61,58,54
Luxembourg,LUX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,
Latvia,LVA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,95,158,1956,1916,1014,903,484,610,3080,3173,2822,2428,1424,660,765,787,712,706,662,228,206,187,165,162,152,144,143,122
"Macao SAR, China",MAC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,13,13,18,8,8,8,8,8,8,8,,,5,5,5,,,,,
St. Martin (French part),MAF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Morocco,MAR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,14,46,92,105,179,300,302,309,351,373,394,357,1266,1291,1313,2914,4699,4036,3520,2277,2276,2305,2394,1290,1523,1760,2240,3089,3873,4642,4467,5385
Monaco,MCO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,5,5,5,5,5,5,5,,
Moldova,MDA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,455,524,5826,5137,2750,2405,2650,3731,10121,11141,11936,12065,11680,4913,5551,5928,6204,6261,6148,2210,2230,2289,2316,2339,2397,2427,2206,2190
Madagascar,MDG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77,76,74,66,53,51,36,52,86,132,201,258,282,278,271,266,287,299,298,279,285,292,292,298,298,268,425
Maldives,MDV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,15,15,15,15,16,21,22,30,32,39,58,64,74,75,78,80
Middle East & North Africa,MEA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1228222,1530362,1584150,985831,1019334,950041,945259,916304,878676,864220,761559,1005807,1063473,915026,844370,776846,1943083,2779040,2372264,2017324,1908772,1661549,1696340,3074835,4475952,5377343,6098281,6969775,7351472,7282543,7373462,7553754
Mexico,MEX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,248,361,520,663,1011,1358,1288,1592,1668,1650,1740,2309,3301,5568,6160,6433,6809,7471,8438,9396,10672,11340,10387,11679,12870,14621,15398,16403
Marshall Islands,MHL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,5,5,7,7,7,7,7
Middle income,MIC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2967450,3336142,4696933,4350479,4491150,4263960,4714445,4527135,4198080,4095600,3629305,3797296,4307081,3815311,3493961,3268427,4565525,5427225,4891218,4701115,4593430,4403648,3543034,2890055,3402650,3361367,3178481,3753581,3769555,3745758,3909266,4046709
North Macedonia,MKD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1895,346,12881,13039,12742,1934,2091,2175,12192,8102,5981,5106,8603,7937,8072,7513,7921,7880,7677,7582,1622,1752,1769,1730,1653,1721,1784,1576,1842
Mali,MLI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14705,71190,98575,172903,77218,55192,18014,3699,381,364,311,525,456,476,512,586,4489,1751,2927,3659,4289,149930,152812,139249,154202,156415,150305,158267,164466,164588,183392
Malta,MLT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,13,18,14,15,23,17,7,7,6,,,25,10,10,10,5,5,5,5,,,,,5,5,5,7
Myanmar,MMR,,,,,,,,,,,,,5700,,,,,,160000,,,,,,,,,,7,,24,40052,245127,281571,204512,152301,143019,135771,133408,131661,137121,145849,148493,151370,160997,164851,202817,191308,184410,406667,415662,414615,415363,479594,479006,451804,490285,1156742,1145149,1076826,1103245,1177029
Middle East & North Africa (excluding high income),MNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1228123,1530233,1583983,985562,1017373,947957,942933,914012,876512,862360,760249,1004645,1061989,913462,842951,775615,1940562,2775542,2368770,2013839,1905162,1657528,1691950,3071865,4472919,5374224,6095220,6966286,7347451,7278275,7368864,7548749
Montenegro,MNE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,136,555,1280,2578,3243,3699,4052,542,601,646,713,704,715,659,530,623
Mongolia,MNG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,10,17,25,25,57,277,324,443,655,866,1103,1329,1490,1720,1982,2111,2054,2162,2198,2282,2227,2249,2364,2277,2508
Northern Mariana Islands,MNP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mozambique,MOZ,,,,,10000,17000,20800,27750,33750,43120,60070,60410,64400,69800,80960,34750,580,120,130,370,120,5170,20200,50200,51200,72250,193550,635000,921237,1120756,1247991,1316635,1445474,1172548,234495,125561,34656,33652,56,26,24,45,129,106,94,93,216,213,198,130,120,147,155,51,55,55,48,48,57,77,81,90
Mauritania,MRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48236,65995,79874,79594,67887,68039,84310,83231,70294,70221,29942,29742,29850,30130,30518,31104,31650,33420,33095,45592,39134,37721,39919,33747,34239,34103,34656,36263,36525,37050,37423,37931,39279
Mauritius,MUS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,10,,12,5,29,30,39,54,15,22,75,67,20,21,25,36,57,72,91,101,106,130,156,178,176,198
Malawi,MWI,,,,,,,150,300,140,190,250,250,250,100,80,30350,60,1050,310,460,420,70,240,440,440,450,440,450,5,5,55,50,50,43,60,37,40,37,27,34,34,26,48,60,95,98,112,93,103,126,168,216,273,323,356,429,427,434,472,514,514,513
Malaysia,MYS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,5,83,82,105,88,87,83,79,77,117,235,287,388,575,611,607,530,550,531,523,478,458,435,453,540,817,906,1058,1182
North America,NAC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,13,15,369,248,151,87,66,57,198,225,435,455,508,796,1447,2694,2226,2464,3105,3883,4575,4849,5069,4897,378,385,413,368,414,486
Namibia,NAM,,,,,,,180,230,1330,840,900,900,1000,3410,3420,3970,9020,12930,35760,40580,55620,74520,75170,75110,77550,76916,76966,75726,76591,3704,532,204,17,133,65,12,13,,1900,702,2307,2295,1298,1289,1307,1221,1196,1123,976,918,1013,1067,1097,1138,1250,1272,1363,1368,1331,459,457,441
New Caledonia,NCL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Niger,NER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22006,22306,22019,10289,10359,2783,418,508,483,478,829,716,676,642,803,817,789,812,794,805,824,674,728,1383,1230,1363,2715,3063,18853,21901
Nigeria,NGA,,,,,,,,,51100,2850,,,,,,,,,,,,,,,,,,5,15,15,15,22,75,95,587,1942,4751,3043,3998,4440,5735,6077,24559,24414,23882,22123,13242,13898,14170,15609,15645,17140,18017,31173,90936,167973,229290,238977,276834,295578,352960,383660
Nicaragua,NIC,,,,,,,,,,,,,,,,,,,144800,16600,960,2500,18970,23520,35020,52650,67550,68540,86563,97698,52617,46789,44275,33056,28596,23936,22818,22495,21390,20572,5070,4397,4049,3984,1822,1463,1827,1899,1533,1473,1426,1464,1526,1530,1580,1469,1409,1467,1671,4376,8701,11041
Netherlands,NLD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75,86,97,77,57,29,14,5,32,38,45,155,41,44,46,44,52,61,69,59,63,64,32,39,41,55,51,58
Norway,NOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,5,12,,,,,,5,5,15,15,10,10,15,5,5,5,5
Nepal,NPL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,27,44,49,95,178,227,300,899,1232,1414,2061,2651,3364,4190,5101,5883,6845,7601,8098,8542,9051,8364,8415,8590,8034,7483,7029
Nauru,NRU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,,,5,,,,,,,,,,,,,,,,,5,5
New Zealand,NZL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,7,12,8,9,11,13,19,15,14,16,25,34,34,34,35,33
OECD members,OED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58105,52126,46950,85179,108856,101531,93159,80898,69611,62515,67920,77254,265274,261832,251819,270085,335784,796891,608490,556028,562294,557016,552131,485887,448470,423991,388455,274313,230885,297454,309934,248343
Oman,OMN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,9,8,8,8,8,5,5,19,5,16,10,37,44,55,63,62,58,62,20,25,36,35,39,42,42,47,53
Other small states,OSS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5666,14929,80801,91008,127848,125117,128176,120125,121820,277928,238239,189482,146153,109565,110651,112803,114043,116456,111765,97614,84757,68728,53707,40590,35037,33019,30896,30754,33354,33126,25268,27275
Pakistan,PAK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,274,409,485,523,1088,1420,4431,5277,7499,5983,6860,8011,10134,12326,23164,24390,25943,29906,25636,31847,32391,35129,39979,35948,49778,48676,335947,297886,105419,128914,132248,136902,133280,132817
Panama,PAN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47,365,629,640,652,677,486,158,146,123,86,73,70,36,44,29,38,41,72,105,106,102,94,98,107,99,83,62,33,36,44,45,70,118
Peru,PER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,26,255,473,727,1967,4333,5902,6695,6608,7065,7205,6948,6500,6431,5578,4767,4863,6977,7738,7329,6272,5834,5488,5207,4762,4333,3591,2599,2588,2579,2765,2834,3520
Philippines,PHL,,,,,,,,,,,,,,,,,,90000,92000,90000,90000,90000,90000,100000,100000,90000,90000,90000,90000,90000,11,15,45,111,435,515,599,526,45601,45516,45481,45469,45606,409,428,464,888,1550,1348,987,963,945,979,718,660,582,426,445,522,554,469,521
Palau,PLW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Papua New Guinea,PNG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000,2006,806,216,6,6,6,12,12,12,20,27,33,44,68,87,126,172,219,285,335,401,406,424,475,510,507
Poland,POL,,,,,,,,,,,150,150,140,100,70,60,50,,50,,471,505,775,761,994,1655,1102,1475,23266,23072,25632,21643,14518,13385,35934,19731,12868,7292,1880,1238,859,3187,16713,15211,10683,19642,13508,2911,2385,2052,1758,1811,1638,1428,1306,1298,1159,1123,1085,961,910,887
Pre-demographic dividend,PRE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11492529,12098683,10560074,9755625,7708767,7087614,7162549,6757823,6591791,6850845,7801814,7717025,6328086,5654302,5795196,5327765,6406527,7952575,7196227,7107238,7318007,7239576,6646688,6456351,7232189,7744755,8419066,9817273,9918962,9984333,9924245,10456996
Puerto Rico,PRI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,12,12,,,,,,,,,,,,,,,,,,,,,,,,,
"Korea, Dem. People's Rep.",PRK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,5,10,15,17,256,306,344,287,394,602,881,878,915,1046,1126,1163,1275,1094,1419,1176,797,758,689,528
Portugal,PRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,23,218,213,21,16,24,14,60,54,43,74,25,29,35,30,29,29,32,27,30,28,20,16,20,25,27,26
Paraguay,PRY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,8,10,15,64,51,45,19,16,20,20,6,26,34,34,42,103,99,97,77,86,91,101,91,87,88,68,77,73,84,119,125
West Bank and Gaza,PSE,,,,,,,,,,,,,,,,,3200,,,,,,9800,9110,,31640,52705,2005,5014,8041,8521,65177,95343,81472,82559,72762,80202,76812,77517,100602,110641,349158,428775,350562,349827,349663,334127,341231,340004,95185,93312,94141,94916,96035,97207,98013,97794,99630,100728,96253,100153,103581
Pacific island small states,PSS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,89,156,261,349,370,340,372,450,778,1138,1185,1382,1434,1767,1907,1959,1989,1960,1686,1419,1211,1026,985,892,832,747,664,596,497
Post-demographic dividend,PST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27353,29606,637717,834319,907037,1065067,1349272,1242360,1018132,999382,891388,794012,809308,665633,571237,356889,418171,231233,224178,194036,177309,170821,164336,104426,322776,395206,299832,198135,150936,117687,94138,87699
French Polynesia,PYF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Qatar,QAT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49,30,17,18,21,6,,,10,14,10,6,48,57,69,66,109,93,123,15,23,21,25,31,30,36,33,47
Romania,ROU,,,,,,,,,,,100,60,90,90,70,70,,,60,,772,854,1157,1211,962,2201,1024,1890,20247,45978,51282,27177,25118,23566,22273,16977,11872,8955,10924,8560,7348,6052,8842,8384,6043,11495,7224,5299,4747,4350,3926,3422,2802,2331,1917,1731,1195,1210,1155,1352,1343,1417
Russian Federation,RUS,,,,,120,,17970,,,,170,160,150,110,80,70,60,50,50,,10821,11562,11569,11574,11577,11582,10226,8683,33636,68496,117736,155576,213802,243312,251394,207027,173722,198055,172724,28319,40309,45154,91625,96414,108096,103037,159383,93218,103061,109452,111944,109783,110587,74310,70552,67008,62759,61584,61457,62353,52742,68547
Rwanda,RWA,,147000,147000,154000,166300,155900,159600,160230,160100,144930,142050,141630,153650,163595,178260,175720,176410,169780,175110,176540,286650,277010,327950,321760,357110,376520,371910,353440,327540,319500,361317,431239,434731,450459,2257570,1819367,469132,67996,77738,88934,119051,84508,75251,75258,63792,100252,92956,80955,72529,129108,115519,106832,97357,83943,79396,286357,286063,258986,247469,246407,245781,248219
South Asia,SAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6548525,6526696,4811740,3611811,3012788,2958738,2963681,2966979,2909056,2848512,3847588,4072751,2800274,2406909,2680194,2436365,2386422,3369109,3142062,3192058,3344515,2928092,2842239,2788669,3107703,3134442,2765647,2909950,2973842,3024300,2916419,3047495
Saudi Arabia,SAU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,180,261,244,358,362,233,77,29,104,232,212,146,609,737,700,629,659,733,811,575,616,686,937,1219,1492,1721,2003,2167
Sudan,SDN,,,,13000,20300,81560,115000,120990,175500,170400,172960,171330,128450,13050,11770,11000,10600,10850,10850,10850,10850,5350,5350,31000,180060,180855,132759,253166,347309,438899,523996,196242,267767,393868,405129,445277,475302,364571,390001,485449,494351,489931,508863,606230,730631,693621,686296,523029,419249,368178,387265,500004,568934,648936,665956,627080,650391,694556,724787,734780,787823,825290
Senegal,SEN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,15006,60006,25137,15463,22594,25619,17587,17630,17163,9712,11598,11077,8554,12069,8347,8325,8662,15150,15886,16007,16306,16255,17710,18717,19815,23110,21267,23054,26584,18208,17208,13986,15129
Singapore,SGP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,5,,,,,8,8,18,20,21,24,21,15,40,35,36,35,108,117,106,77,74,65,64,61,55,50,38,48,46,39,37,34
Solomon Islands,SLB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,34,34,34,34,34,42,55,61,61,27,37,47,51,65,75,72,60,60,70,71,71,57,33,34,37,38
Sierra Leone,SLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,8,8,142614,253591,311181,275298,379491,375100,329322,406070,490047,402798,179097,141473,70571,41797,40473,42849,32114,32517,15398,11261,7985,6191,5305,4988,4900,4678,4496,4846,5288,5734,6615
El Salvador,SLV,,,,,,,,,,,,,,,,,,,,,91630,304810,242400,244600,243000,180605,171785,167605,166393,39582,30019,33048,30854,26125,30736,23534,19639,17124,12591,12408,7753,7147,6630,5658,4497,4283,6390,6026,5154,5053,4978,6725,8173,9634,10968,14778,19617,25876,32562,41816,45640,52041
San Marino,SMR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,5,,5,,,,,,,,,,,,,,,,,,,
Somalia,SOM,,,,,,,,,,,,,,,,110,50,60,90,90,134,34,118,39,639,1830,3142,60162,351993,360309,470174,732596,812196,574612,631420,638695,636984,608086,557953,524604,475644,440120,432304,402329,389287,395544,464026,457345,561145,678296,770141,1077038,1136709,1121760,1106430,1123144,1012320,986386,949637,901596,812356,776678
Serbia,SRB,,,,,,,,,,130,150,140,130,130,120,120,,,4200,,270,214,177,157,91,91,72,42,99,96,1745,45826,90081,58255,54975,86116,103963,106649,115289,172506,146749,144231,327582,296627,237015,189985,174022,165636,185930,195625,183284,161664,158903,48725,45730,38620,36928,33246,32368,31251,29976,31735
Sub-Saharan Africa (excluding high income),SSA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5746892,5169260,5426023,6326045,6727751,5624366,4354536,3541330,3413916,3618100,3769011,3464525,3525094,3312233,3221577,3096054,3039507,2747758,2627727,2665787,2810062,3371529,3535014,3702363,4479198,5233426,6007856,7213999,7241625,7290851,7417822,7822151
South Sudan,SSD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87007,114468,616206,778722,1436707,2439888,2285301,2234805,2188785,2362759
Sub-Saharan Africa,SSF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5746950,5169327,5426075,6326072,6728304,5624705,4354674,3541362,3413954,3618130,3769036,3464539,3525137,3312270,3221624,3096093,3039568,2747812,2627778,2665834,2810109,3371568,3535044,3702387,4479221,5233445,6007866,7214009,7241640,7290866,7417832,7822165
